"","hyena_ID","sample_ID.x","ID_sib","genetic_mum","surrogate_mum"
"1","I247","X9162",NA,"I166","I153"
"2","I278","B2400",NA,"I153","I153"
"3","I351","B897","I350","I201","I201"
"4","I365","X6753","I366","I182","I182"
"5","I365","B6320","I366","I182","I182"
"6","I369","X6473",NA,"I214","I214"
"7","I405","B6739","I408","I247","I247"
"8","I434","B7860",NA,"I363","I363"
"9","I447","X8931","I448","I247","I247"
"10","I458","X8181",NA,"I278","I278"
"11","I459","X6441","I469","I211","I211"
"12","I459","X8978","I469","I211","I211"
"13","I461","X6641","I462","I351","I351"
"14","I462","X6643","I461","I351","I351"
"15","I476","B8634","I475","I314","I314"
"16","I482","X7135",NA,"I363","I363"
"17","I484","X8908","I485","I383","I383"
"18","I491","X7340","I489","I387","I387"
"19","I512","X8562","I513","I405","I405"
"20","I513","X8566","I512","I405","I405"
"21","I515","X8453",NA,"I182","I182"
"22","I538","B7706",NA,"I451","I451"
"23","I545","X9326","I544","I383","I383"
"24","I545","B7255","I544","I383","I383"
"25","I551","B574","I550","I387","I387"
"26","I557","B990","I558","I278","I351"
"27","I558","B867","I557","I278","I351"
"28","I562","B540","I563","I335","I335"
"29","I562","B824","I563","I335","I335"
"30","I562","B8661","I563","I335","I335"
"31","I565","B1445","I564","I315","I315"
"32","I565","B7607","I564","I315","I315"
"33","I566","B981",NA,"I400","I400"
"34","I567","B635","I568","I434","I434"
"35","I567","B6240","I568","I434","I434"
"36","I570","B1733",NA,"I405","I405"
"37","I570","B6318",NA,"I405","I405"
"38","I580","B1303","I581","I425","I425"
"39","I581","B841","I580","I425","I425"
"40","I581","B1079","I580","I425","I425"
"41","I591","B1830","I590","I314","I314"
"42","I591","B4621","I590","I314","I314"
"43","I600","B2536","I602","I278","I278"
"44","I602","B2530","I600","I278","I278"
"45","I604","B8996","I605","I474","I474"
"46","I605","B9837","I604","I474","I474"
"47","I617","B4604","I618","I363","I363"
"48","I618","B2926","I617","I363","I363"
"49","I680","B9758","I681","I484","I484+I542"
"50","I687","B4368","I688","I482","I482"
"51","I688","B4372","I687","I482","I482"
