"","Effect","Estimate","lCI","uCI","Domain"
"1","IgAP",-0.00767134116376725,-0.0191139020455772,0.00382098748825369,"Fungi"
"2","MucinP",-0.0458374888222012,-0.0573148020664812,-0.0341269830504998,"Fungi"
"3","Age",-0.0011419716371169,-0.0126532337847416,0.0105232753404658,"Fungi"
"4","Rank",-0.00396574375890647,-0.00885333503119514,0.000892887201397297,"Fungi"
"5","mum1",0.0109352667940529,9.52852369127661e-05,0.0216517088483054,"Fungi"
"6","Temporal",-0.025163782387495,-0.0306037927563537,-0.0199402718233306,"Fungi"
"7","Clan1",0.000401474999910459,-0.0019853498106577,0.00274088807926237,"Fungi"
"8","Batch1",0.0118797440913651,0.00887586752596948,0.0148212269956566,"Fungi"
"9","Season1",0.0124162124629412,0.0103002097858966,0.0146028721400339,"Fungi"
"10","IgAP:Age",-0.0297088904336961,-0.0608330223112871,0.00181194834423851,"Fungi"
"11","MucinP:Age",0.0490552494153895,0.0188233467775535,0.0774000086772834,"Fungi"
"12","IgAP",-0.0891242040090517,-0.115483203425822,-0.0626689911652367,"Parasite"
"13","MucinP",-0.131291286208556,-0.156392624625502,-0.10513337774866,"Parasite"
"14","Age",-0.154128896362602,-0.17896435645523,-0.127907128821524,"Parasite"
"15","Rank",0.00162642427353633,-0.00856354742579608,0.0117980284592442,"Parasite"
"16","mum1",0.0277000785226616,0.00419746739346919,0.051361555447734,"Parasite"
"17","Temporal",-0.0167661054547574,-0.0282896230105748,-0.00513179864562462,"Parasite"
"18","Clan1",-0.00235197483604065,-0.0074880782574557,0.002740379238339,"Parasite"
"19","Batch1",0.0113688544439522,0.00472212496754401,0.018011289084804,"Parasite"
"20","Season1",0.00470376910657746,4.04504806238013e-05,0.00949563201117801,"Parasite"
"21","IgAP:Age",0.130335181181268,0.0606833651683349,0.199133644054867,"Parasite"
"22","MucinP:Age",0.145910169414107,0.0803031250869246,0.211214731000111,"Parasite"
"23","IgAP",-0.110661384741015,-0.127809408640853,-0.0934862608742799,"Bacteria"
"24","MucinP",-0.196882548346348,-0.214149248171876,-0.17940302736577,"Bacteria"
"25","Age",-0.178727421078435,-0.195919455337112,-0.161098701207031,"Bacteria"
"26","Rank",0.00133095178441554,-0.00562366066385434,0.00831062168561195,"Bacteria"
"27","mum1",0.0123393189731399,-0.00343282892826718,0.0283042282248342,"Bacteria"
"28","Temporal",-0.0115565024518479,-0.0193530819309337,-0.00367762478224494,"Bacteria"
"29","Clan1",0.00294766260500829,-0.000484238310333662,0.00645254272126116,"Bacteria"
"30","Batch1",0.014702141554737,0.0102569899059626,0.0190875933054071,"Bacteria"
"31","Season1",0.00915973879029783,0.00597622315888468,0.0124029448102154,"Bacteria"
"32","IgAP:Age",-0.0322163145398033,-0.0787900635726069,0.0139839251919325,"Bacteria"
"33","MucinP:Age",-0.0177728848677833,-0.0617284330387373,0.0257611858234112,"Bacteria"
"34","IgAP",-0.0501510035481969,-0.0612585961430005,-0.0384589575375138,"Overall"
"35","MucinP",-0.11131327088538,-0.12282196964046,-0.0998535755909214,"Overall"
"36","Age",-0.148962241996526,-0.160477178412943,-0.137493834738672,"Overall"
"37","Rank",0.00197808231544884,-0.00270238487184051,0.00684066309368263,"Overall"
"38","Gen_mum1",0.0117670013306185,0.00108616643735637,0.0226311750986747,"Overall"
"39","Temporal",-0.0130366000226424,-0.0183356728515343,-0.00767812692558414,"Overall"
"40","Clan1",0.00272666739968532,0.000364323901217833,0.00505103765484025,"Overall"
"41","Season1",0.00713574851116125,0.004950866091073,0.00927042615073924,"Overall"
"42","Batch1",0.0318653312498174,0.0288317036154048,0.0349135445947766,"Overall"
"43","IgAP:Age",0.0726520894252335,0.0413200335302013,0.103243693586584,"Overall"
"44","MucinP:Age",0.0871082247931068,0.0585865713339914,0.11660218698647,"Overall"
