"","Effect","Estimate","lCI","uCI","Domain"
"2","SexFM",0.0104435191645258,-0.0106802448976602,0.0316070450861805,"Overall"
"3","SexMM",0.0184630728256457,-0.0237460852586613,0.0605634910069859,"Overall"
"4","IgAP",-0.0395466124598829,-0.0494808562536307,-0.0301052960631665,"Overall"
"5","MucinP",-0.0415291565209915,-0.0526239033451361,-0.030049435200564,"Overall"
"6","Age",-0.159176679618649,-0.176325730109148,-0.142648353721475,"Overall"
"7","Temporal",-0.0310273211782377,-0.0390631253085656,-0.0232633580384195,"Overall"
"8","Clan1",0.00435061833729373,0.00119050381974568,0.00750344906934001,"Overall"
"9","Season1",0.00330356092668883,0.000397163747332688,0.00615253196512583,"Overall"
"10","Batch1",0.0346995502107737,0.0305148388919734,0.0388265175854742,"Overall"
"SexFM","SexFM",0.0225436108728217,-0.0361334347737242,0.0823990062193327,"Parasite"
"SexMM","SexMM",0.0476624578736703,-0.0696366925924944,0.166598824605102,"Parasite"
"IgAP","IgAP",-0.0268250198919254,-0.0487194893712555,-0.00527310185008257,"Parasite"
"MucinP","MucinP",-0.0467041744055646,-0.0731974464198492,-0.0210805520951806,"Parasite"
"Age","Age",-0.0877578563170653,-0.125089142975539,-0.0515618925482198,"Parasite"
"Temporal","Temporal",-0.02802775312777,-0.0449525576878166,-0.0110087987129995,"Parasite"
"Clan1","Clan1",0.000877118454185478,-0.00605714021389843,0.00789088147730939,"Parasite"
"Season1","Season1",0.00819079735570534,0.00183045168375707,0.0145901746166227,"Parasite"
"Batch1","Batch1",0.0183672307369205,0.00928933681398894,0.0272322341699437,"Parasite"
"SexFM1","SexFM",0.0108689896673978,-0.00596379595512535,0.0283886985768531,"Fungi"
"SexMM1","SexMM",0.0200564702948264,-0.0136303323504302,0.0548526714240436,"Fungi"
"IgAP1","IgAP",-0.000637160183647808,-0.0104602489357324,0.00934423646707348,"Fungi"
"MucinP1","MucinP",-0.0392051933872312,-0.0508964201685937,-0.0276379015742789,"Fungi"
"Age1","Age",-0.00916492250350534,-0.025942190477837,0.00729674348704143,"Fungi"
"Temporal1","Temporal",-0.0326316611399108,-0.0407625927342979,-0.0245742960374455,"Fungi"
"Clan11","Clan1",0.000973687521255775,-0.00220743963048491,0.00414578144308791,"Fungi"
"Season11","Season1",0.00849728657660936,0.00549595335311211,0.0115541643932053,"Fungi"
"Batch11","Batch1",0.00794788988834655,0.00377746720861076,0.0122330040904436,"Fungi"
"SexFM2","SexFM",0.00937728574750447,-0.00871217432532567,0.0276363022547261,"Bacteria"
"SexMM2","SexMM",0.017252164709787,-0.0183907474934093,0.0538006217203119,"Bacteria"
"IgAP2","IgAP",-0.0643875107170462,-0.0781894699423665,-0.0506342276643477,"Bacteria"
"MucinP2","MucinP",-0.0636088453918856,-0.0798213422523256,-0.0475362247024963,"Bacteria"
"Age2","Age",-0.377568930814618,-0.40093883419536,-0.355336826824246,"Bacteria"
"Temporal2","Temporal",-0.0233818499402596,-0.0347077440684755,-0.0124550169264723,"Bacteria"
"Clan12","Clan1",0.00464930319741108,0.000323391468975916,0.00903575974270666,"Bacteria"
"Season12","Season1",0.00442597303961105,0.000344483476437947,0.00846333367497511,"Bacteria"
"Batch12","Batch1",0.0152266060202558,0.00946526573250906,0.0209413385200353,"Bacteria"
