"","Effect","Estimate","lCI","uCI","Domain"
"2","IgAP",-0.0525292528810188,-0.0630864940217888,-0.0419960916661591,"Aitchison"
"3","MucinP",-0.058421084356515,-0.0686104725059207,-0.04804515213092,"Aitchison"
"4","Age",-0.128214916738965,-0.138606881603982,-0.117363698020073,"Aitchison"
"5","Rank",0.0016860494182156,-0.00261788638495272,0.00595595093026782,"Aitchison"
"6","Gen_mum1",0.00957433750228291,-2.01146481591485e-05,0.0191196872236961,"Aitchison"
"7","Temporal",-0.0131260072795926,-0.0178638247284312,-0.00825274799778836,"Aitchison"
"8","Clan1",0.00193629714465689,-0.000194568991643937,0.00407994013820598,"Aitchison"
"9","Season1",0.00509765940052226,0.00316001705725169,0.00702587295073804,"Aitchison"
"10","Batch1",0.0276167486497794,0.0248319794957465,0.0304056917388333,"Aitchison"
"11","IgAP:Age",0.0327547541671768,0.00464136339379591,0.06109560419848,"Aitchison"
"12","MucinP:Age",0.0413203085546578,0.0139270241543072,0.0681690466457523,"Aitchison"
"IgAP","IgAP",-0.050192846782499,-0.0618035243776761,-0.0377943112485036,"Bray"
"MucinP","MucinP",-0.111148460509076,-0.122768783883221,-0.0996708378515927,"Bray"
"Age","Age",-0.148900342545982,-0.160217587329833,-0.137815828470755,"Bray"
"Rank","Rank",0.00198375338846185,-0.00273902078611763,0.00665729577207609,"Bray"
"Gen_mum1","Gen_mum1",0.0117503991275894,0.00105931447714647,0.0224921237355096,"Bray"
"Temporal","Temporal",-0.0130525570561172,-0.0182438102289034,-0.00784418684890943,"Bray"
"Clan1","Clan1",0.00273125940728853,0.000380177014318076,0.0050295156182299,"Bray"
"Season1","Season1",0.0071355969652383,0.00507157390972753,0.00920327070722087,"Bray"
"Batch1","Batch1",0.0318567225764601,0.028828672644328,0.0349191155092976,"Bray"
"IgAP:Age","IgAP:Age",0.072845481372911,0.041464479030936,0.105062113764892,"Bray"
"MucinP:Age","MucinP:Age",0.0866773864760872,0.0564552792767027,0.116318882897926,"Bray"
"IgAP1","IgAP",-0.0488531938095274,-0.057161266173117,-0.0405945027455485,"Jaccard"
"MucinP1","MucinP",-0.0968103651153058,-0.104785988125508,-0.0887940817263984,"Jaccard"
"Age1","Age",-0.0950715702463045,-0.10321367086139,-0.0868191703347984,"Jaccard"
"Rank1","Rank",0.000525854224826761,-0.00272153757029095,0.00381571815827944,"Jaccard"
"Gen_mum11","Gen_mum1",0.00319962075412571,-0.00423157087106741,0.0106946689659475,"Jaccard"
"Temporal1","Temporal",-0.0106999251969842,-0.0144184143063521,-0.00697047199794477,"Jaccard"
"Clan11","Clan1",0.0022204521022188,0.000553339423642166,0.0038811573875875,"Jaccard"
"Season11","Season1",0.00673711992750073,0.00525138284919363,0.00829327998892094,"Jaccard"
"Batch11","Batch1",0.0125924620296732,0.010428226553073,0.0147383728000305,"Jaccard"
"IgAP:Age1","IgAP:Age",-0.0255208988785991,-0.0474635227246575,-0.00360574777578741,"Jaccard"
"MucinP:Age1","MucinP:Age",0.0026064970080628,-0.0181222370034937,0.0232272447699918,"Jaccard"
